scope	mode	seq	dir	len	bip39_words	bip39_windows	bip39_valid	el_win12_13	el_valid12_13	el_win_all	el_valid_all	old_windows	wif_bip38_valid
all+p79json	any	nonemph	fwd	702	143	3560	87	4113	18	26520	123	256	0
all+p79json	any	nonemph	rev	702	143	3560	71	4113	13	26520	143	256	0
all+p79json	any	runfirst	fwd	74	11	22	0	244	1	1443	5	0	0
all+p79json	any	runfirst	rev	74	11	22	1	244	2	1443	7	0	0
all+p79json	any	runlast	fwd	74	17	89	3	244	0	1443	11	3	0
all+p79json	any	runlast	rev	74	17	89	1	244	0	1443	6	3	0
all+p79json	any	before	fwd	74	14	29	3	377	0	2236	3	1	0
all+p79json	any	before	rev	74	14	29	1	377	0	2236	6	1	0
all+p79json	any	after	fwd	74	7	2	0	250	3	1482	5	0	0
all+p79json	any	after	rev	74	7	2	0	250	0	1482	9	0	0
all+p79json	any	runfirst_L	fwd	130	27	185	6	701	2	4342	16	12	0
all+p79json	any	runfirst_L	rev	130	27	185	5	701	3	4342	26	12	0
all+p79json	any	runlast_L	fwd	130	26	465	11	699	4	4329	27	18	0
all+p79json	any	runlast_L	rev	130	26	465	11	699	3	4329	23	18	0
all+p79json	any	boldrun_first	fwd	48	7	7	1	144	0	793	5	0	0
all+p79json	any	boldrun_first	rev	48	7	7	1	144	0	793	3	0	0
all+p79json	any	boldrun_last	fwd	48	13	28	2	144	0	793	6	0	0
all+p79json	any	boldrun_last	rev	48	13	28	2	144	3	793	6	0	0
all+p79json	any	sent_emph_first	fwd	68	12	13	1	224	0	1313	9	1	0
all+p79json	any	sent_emph_first	rev	68	12	13	0	224	1	1313	4	1	0
all+p79json	any	sent_emph_last	fwd	68	15	70	2	333	0	1950	10	7	0
all+p79json	any	sent_emph_last	rev	68	15	70	2	333	1	1950	9	7	0
all+p79json	any	esent_first	fwd	68	11	12	1	226	2	1326	5	1	0
all+p79json	any	esent_first	rev	68	11	12	1	226	2	1326	5	1	0
all+p79json	any	esent_last	fwd	68	16	82	2	343	3	2015	6	9	0
all+p79json	any	esent_last	rev	68	16	82	4	343	0	2015	5	9	0
all+p79hand	w10	emph	fwd	471	108	2520	68	2735	8	17563	97	195	0
all+p79hand	w10	emph	rev	471	108	2520	71	2735	20	17563	88	195	0
all+p79hand	w10	bold_nobar	fwd	255	58	1180	23	1459	7	9269	60	48	0
all+p79hand	w10	bold_nobar	rev	255	58	1180	40	1459	3	9269	42	48	0
all+p79hand	w10	nonemph	fwd	790	161	4090	101	4637	14	29926	119	288	0
all+p79hand	w10	nonemph	rev	790	161	4090	95	4637	23	29926	159	288	0
all+p79hand	w10	runfirst	fwd	65	16	37	1	208	1	1209	6	0	0
all+p79hand	w10	runfirst	rev	65	16	37	2	208	1	1209	9	0	0
